COMPANY_FKEY,bank_event
0000873458,2001-09-26
0000873601,2000-10-06
0000874212,2006-03-27
0000874265,2000-06-22
0000874385,2007-06-02
0000874389,2004-12-01
0000874499,2020-11-13
0000874501,2010-11-08
0000874787,2002-11-11
0000874841,2016-04-07
0000875428,1996-01-25
0000875525,2008-12-15
0000875612,2000-01-31
0000875762,2010-04-28
0000875942,2001-04-06
0000876103,2002-10-15
0000876320,2000-01-25
0000877355,2008-11-26
0000878079,2018-02-04
0000878324,2000-07-24
0000878543,2000-03-10
0000878720,2003-01-13
0000878726,2020-05-27
0000878731,2009-08-05
0000878774,2010-04-26
0000878802,2017-06-29
0000878808,2010-01-27
0000879123,2008-06-09
0000879124,2000-02-04
0000879181,2002-07-31
0000879206,2003-10-10
0000879301,2003-09-05
0000879385,2003-12-08
0000879774,2000-11-16
0000879813,2006-05-08
0000879969,2000-11-09
0000880034,2008-01-29
0000880259,2003-02-27
0000880354,2003-02-18
0000880460,2017-08-26
0000880643,2012-08-03
0000881400,2002-01-31
0000881468,2008-02-21
0000881524,2020-07-07
0000881771,2002-10-11
0000881905,2012-02-01
0000882074,2002-07-16
0000882159,2003-03-10
0000882160,2002-08-05
0000882259,2001-03-30
0000882287,2000-01-18
0000883324,2002-05-09
0000883558,2000-07-26
0000883670,2010-03-08
0000883697,2011-04-08
0000883701,2001-03-07
0000883811,2003-07-17
0000884124,2002-02-19
0000884217,2020-08-02
0000884318,2001-07-02
0000884321,2007-07-20
0000884403,2009-08-24
0000884719,2008-09-16
0000884940,2020-08-12
0000884999,2000-09-25
0000885067,2002-07-21
0000885322,2013-08-12
0000885475,2008-09-15
0000885546,2003-03-04
0000885551,2012-07-12
0000885566,2000-12-17
0000885672,2004-02-01
0000885741,2002-05-09
0000886113,2001-01-22
0000886328,2017-07-06
0000886835,2020-12-07
0000887150,2016-11-23
0000887356,2000-12-26
0000887403,2003-06-03
0000887433,2008-03-30
0000887591,2004-03-30
0000887996,2001-07-05
0000888507,2002-06-20
0000888693,2009-07-14
0000888918,2001-09-21
0000889087,2001-08-30
0000889237,2001-11-01
0000889423,2012-10-17
0000889429,1998-01-06
0000889571,2000-09-05
0000889872,2002-02-25
0000889992,2008-11-21
0000890080,2005-09-19
0000890081,2005-09-19
0000890096,2002-08-25
0000890152,2001-08-21
0000890175,2002-12-17
0000890284,2001-10-19
0000890449,2000-02-07
0000890784,2005-06-02
0000890924,2002-06-28
0000890925,2001-09-20
0000891285,2001-07-30
0000891504,2009-03-19
0000891533,2009-01-15
0000891537,2009-01-15
0000891933,2001-01-05
0000892038,1999-01-06
0000892535,2009-05-01
0000892553,2003-07-08
0000892604,2001-03-12
0000892986,2016-06-02
0000893139,2002-12-18
0000893335,2001-06-08
0000893670,2001-12-05
0000893692,2003-03-27
0000893741,2004-07-12
0000894158,2003-06-06
0000894232,2000-10-10
